target,position,sentence,hypernym,definition,label
letter,3,mailed an indignant letter to the editor,owner;proprietor,owner who lets another person use something housing usually for hire,F
set,2,the country set,exercise;exercising;physical_exercise;physical_exertion;workout,several exercises intended to be done in series,F
finish,6,the market was up at the finish,perfection;flawlessness;ne_plus_ultra,a highly developed state of perfection;having a flawless or impeccable quality,F
hollow,1,the hollow of the hand or of a tree,valley;vale,a small valley between mountains,F
corner,1,a corner on the silver market,area,an interior angle formed by two meeting walls,F
bite,1,the bite of satire,meal;repast,a light informal meal,F
tramp,2,a homeless tramp,footfall;footstep;step,a heavy footfall,F
court,5,players had to reserve a court in advance,deference;respect,respectful deference,F
bed,8,slices of hard boiled egg on a bed of spinach,stratum,a stratum of ore or coal thick enough to be mined with profit,F
stretch,1,a stretch of clear water,duration;continuance,an unbroken period of time during which you do something,F
run,9,she broke the record for the half mile run,locomotion;travel,the act of running;traveling on foot at a fast pace,F
heart,5,you have not got the heart for baseball,playing_card,a playing card in the major suit that has one or more red hearts on it,F
wear,4,the tires showed uneven wear,act;deed;human_action;human_activity,the act of having on your person as a covering or adornment,F
direction,2,is the direction of the economy a function of government ,inclination;disposition;tendency,a general course along which something has a tendency to develop,F
fill,8,the mixer returned to the plant for another fill ,enough;sufficiency,a quantity sufficient to satisfy,F
stretch,8,i was right in the middle of a stretch when the phone rang ,duration;continuance,an unbroken period of time during which you do something,F
authority,6,she lost all her respect and authority after turning up drunk to the meeting ,administrative_unit;administrative_body,an administrative unit of government,F
action,2,a rifle action,work,the most important or interesting work or activity in a specific area or field,F
feeling,4,i had a strange feeling in my leg,state,the experiencing of affective and emotional states,F
academy,2,the military academy at west point a riding academy the academy of music ,establishment,a learned establishment for the advancement of knowledge,F
energy,0,energy can take a wide variety of forms,drive,enterprising or ambitious drive,F
break,1,the break seems to have been caused by a fall,pause,a pause from doing something as work ,F
hand,3,on the one hand but on the other hand ,writing,something written by hand,F
score,11,he tried to blame the victim but his success on that score was doubtful,resentment;bitterness;gall;rancor;rancour,a resentment strong enough to justify retaliation,F
sign,3,charges of opposite sign,communication,a public display of a message,F
excuse,4,he is a sorry excuse of a doctor ,note;short_letter;line;billet,a note explaining an absence,F
head,5,tickets are $ per head,domestic_animal;domesticated_animal,a single domestic animal,F
note,3,there was a note of uncertainty in his voice,paper_money;folding_money;paper_currency,a piece of paper money especially one issued by a central bank ,F
surprise,1,the surprise attack was devastating ,astonishment;amazement,the astonishment you feel when something totally unexpected happens to you,F
pass,7,the plane turned to make a second pass,permission,a document indicating permission to do something without restrictions,F
call,6,he was ejected for protesting the call,telephone;telephony,a telephone connection,F
case,3,it was a case of bad judgment,state_of_mind;frame_of_mind,a specific state of mind that is temporary,F
leave,3,he took his leave,permission,permission to do something,F
life,3,pottery was his life,time_period;period_of_time;period,the period from the present until death,F
eye,5,he tried to catch her eye,hole,a small hole or loop as in a needle ,F
lot,4,they were an angry lot,large_indefinite_quantity;large_indefinite_amount, often followed by of a large number or amount or extent,F
